FAA Site Number,Loc ID,Airport Name,Associated City,State,Region,ADO,Use,Latitude,Longitude,Airport Ownership,Part 139,NPIAS Service Level,NPIAS Hub Type,Airport Control Tower,Fuel,Other Services,Based Aircraft Total,Total Operations
23217.5*A,TN41,100 AKER WOOD,SPRING CITY,TN,ASO,MEM,PR,35-46-22.0000N,084-45-55.0000W,PR,,NON-NPIAS,,N,,,1,0 
26393.41*H,WA54,1001 FOURTH AVENUE PLAZA,SEATTLE,WA,ANM,SEA,PR,47-36-24.3530N,122-20-01.4550W,PR,,NON-NPIAS,,N,,,0,0 
23710.37*H,TE56,11 TV DALLAS,DALLAS,TX,ASW,TEX,PR,32-53-06.4500N,096-42-26.0000W,PR,,NON-NPIAS,,N,,,0,0 
05372.12*H,48IN,123 ARCOM,INDIANAPOLIS,IN,AGL,CHI,PR,39-51-32.1430N,085-59-53.9370W,MR,,NON-NPIAS,,N,,,0,0 
50296.01*A,18AA,18 MEADOWS AERODROME,HAINES,AK,AAL,NONE,PR,59-18-47.6000N,135-43-23.6000W,PR,,NON-NPIAS,,N,,,2,0 
00749.01*H,AZ12,183 MILE,PEACH SPRINGS,AZ,AWP,PHX,PR,36-06-29.9380N,113-12-47.7480W,PU,,NON-NPIAS,,N,,,0,0 
14447.8*H,6NJ6,185 MONMOUTH PARKWAY ASSOCIATES HELISTOP,WEST LONG BRANCH,NJ,AEA,HAR,PR,40-18-00.3990N,074-01-31.4980W,PR,,NON-NPIAS,,N,,,0,0 
17746.8*H,OI50,1ST DISTRICT POLICE STA,CLEVELAND,OH,AGL,DET,PR,41-26-53.1800N,081-46-44.4820W,PU,,NON-NPIAS,,N,,,0,0 
14542.1*A,NM47,2 X 4 RANCH,ARTESIA,NM,ASW,LNM,PR,32-46-48.4080N,104-22-52.8620W,PR,,NON-NPIAS,,N,,,1,0 
16590.*H,9NR9,210 INVESTORS,CASTLE HAYNE,NC,ASO,MEM,PR,34-21-32.0000N,077-51-38.0000W,PR,,NON-NPIAS,,N,,,0,0 
19415.21*A,OG00,3 RIVERS RECREATION AREA,CULVER,OR,ANM,SEA,PR,44-33-28.4220N,121-24-05.1770W,PR,,NON-NPIAS,,N,,,0,0 
25169.7*A,UT79,3-I ROCKER RANCH,JENSEN,UT,ANM,DEN,PR,40-24-56.0000N,109-20-37.0000W,PR,,NON-NPIAS,,N,,,4,0 
04106.1*A,96GA,3-M'S,WILLIAMSON,GA,ASO,ATL,PR,33-11-09.0000N,084-22-05.0000W,PR,,NON-NPIAS,,N,,,1,0 
24483.01*H,XS38,3321 WESTSIDE,PASADENA,TX,ASW,TEX,PR,29-39-37.8270N,095-12-06.7610W,PR,,NON-NPIAS,,N,,,0,0 
50296.02*H,AA35,35 MILE LODGE,HAINES,AK,AAL,NONE,PR,59-26-15.2000N,136-13-45.7000W,PR,,NON-NPIAS,,N,,,0,0 
22468.03*A,44SC,4 HOLES FLD,ORANGEBURG,SC,ASO,NONE,PR,33-28-52.5950N,080-46-38.0400W,PR,,NON-NPIAS,,N,,,2,0 
25045.03*A,TS25,4 S RANCH,WIMBERLY,TX,ASW,TEX,PR,29-57-33.6000N,098-11-08.9000W,PR,,NON-NPIAS,,N,,,5,0 
05612.4*A,IN45,4 WINDS AERODROME,ROACHDALE,IN,AGL,CHI,PR,39-49-30.1610N,086-53-00.0310W,PR,,NON-NPIAS,,N,,,3,0 
24563.*A,XS50,4-G RANCH,PREMONT,TX,ASW,TEX,PR,27-23-01.1340N,098-18-36.0290W,PR,,NON-NPIAS,,N,,,0,0 
21211.09*H,1PA1,401 CITY AVENUE,PHILADELPHIA,PA,AEA,HAR,PR,40-00-34.4040N,075-12-49.6470W,PR,,NON-NPIAS,,N,,,0,0 
07754.*A,9LS9,4B RANCH,TENDAL,LA,ASW,LNM,PR,32-24-35.5150N,091-20-55.4110W,PR,,NON-NPIAS,,N,,,0,0 
23933.01*H,36TS,4BH,GEORGETOWN,TX,ASW,TEX,PR,30-43-07.6810N,097-46-24.0470W,PR,,NON-NPIAS,,N,,,0,0 
24189.81*A,48TE,4M RANCH AIRFIELD,LANGTRY,TX,ASW,TEX,PR,30-01-15.6000N,101-34-23.0000W,PR,,NON-NPIAS,,N,,,0,0 
17746.9*H,OI51,4TH DIST POLICE STATION,CLEVELAND,OH,AGL,DET,PR,41-28-19.1870N,081-37-10.4560W,PU,,NON-NPIAS,,N,,,0,0 
19134.32*H,41OK,5 ALIVE,OKLAHOMA CITY,OK,ASW,AOK,PR,35-33-51.2070N,097-29-17.1410W,PR,,NON-NPIAS,,N,,,0,0 
20374.5*A,PA81,5 LAKES,FAYETTEVILLE,PA,AEA,HAR,PR,39-54-46.0000N,077-31-58.0000W,PR,,NON-NPIAS,,N,,,1,0 
23853.7*H,TE82,5-STATE,FATE,TX,ASW,TEX,PR,32-56-19.0000N,096-22-03.0000W,PR,,NON-NPIAS,,N,A,,0,0 
02865.11*H,CT56,50 WASHINGTON STREET,NORWALK,CT,ANE,NONE,PR,41-06-00.3480N,073-25-13.4290W,PR,,NON-NPIAS,,N,,,0,0 
05665.*H,IN52,500,SPEEDWAY,IN,AGL,CHI,PR,39-46-58.1550N,086-13-59.9600W,PR,,NON-NPIAS,,N,,,0,0 
01886.2*A,35CL,59 RANCH,MERCED,CA,AWP,SFO,PR,37-13-54.7930N,120-28-43.6770W,PR,,NON-NPIAS,,N,,,1,0 
18941.03*A,1OK8,5B RANCH,EDMOND,OK,ASW,AOK,PR,35-43-47.1820N,097-32-29.1510W,PR,,NON-NPIAS,,N,,,3,0 
19430.15*A,05OR,6 RANCH,ENTERPRISE,OR,ANM,SEA,PR,45-26-39.3000N,117-20-50.3000W,PR,,NON-NPIAS,,N,,,1,0 
21248.11*H,PN78,600 GRANT STREET ROOFTOP,PITTSBURGH,PA,AEA,HAR,PR,40-26-31.2480N,079-59-43.1910W,PR,,NON-NPIAS,,N,,,0,0 
23999.1*A,6TE6,6666 RANCH,GUTHRIE,TX,ASW,TEX,PR,33-38-29.3700N,100-20-51.0300W,PR,,NON-NPIAS,,N,,,0,0 
