24400.*A,OCH,A L MANGHAM JR RGNL,NACOGDOCHES,TX,ASW,TEX,PU,31-34-39.9500N,094-42-36.4000W,PU,,General Aviation,,N,100LLA,INSTR  RNTL,30,22800 
11733.1*A,H88,A PAUL VANCE FREDERICKTOWN RGNL,FREDERICKTOWN,MO,ACE,NONE,PU,37-36-20.3000N,090-17-14.9000W,PU,,General Aviation,,N,100LLA    MOGAS,,16,2470 
10543.5*A,7Y7,A R S SPORT STRIP,BELLE PLAINE,MN,AGL,DMA,PU,44-39-59.8660N,093-47-00.8650W,PR,,NON-NPIAS,,N,,,5,3000 
07405.*A,IYA,ABBEVILLE CHRIS CRUSTA MEMORIAL,ABBEVILLE,LA,ASW,LNM,PU,29-58-32.8000N,092-05-03.2000W,PU,,General Aviation,,N,100LLA,AGRI  CHTR  INSTR  SALES,32,91595 
00103.*A,0J0,ABBEVILLE MUNI,ABBEVILLE,AL,ASO,JAN,PU,31-36-00.8000N,085-14-17.9100W,PU,,General Aviation,,N,,,0,1600 
90001.*A,CYXX,ABBOTSFORD,ABBOTSFORD,,,NONE,PU,49-01-31.0000N,122-21-36.0000W,PU,,NON-NPIAS,,Y,100LLA,,0,0 
04125.*A,U36,ABERDEEN MUNI,ABERDEEN,ID,ANM,HLN,PU,42-55-15.9500N,112-52-51.2700W,PU,,General Aviation,,N,,AGRI,16,7500 
22603.*A,ABR,ABERDEEN RGNL,ABERDEEN,SD,AGL,DMA,PU,45-26-53.9000N,098-25-20.8000W,PU,I A S 05/1973,Primary,Non-Hub,N,100LLA,AFRT  AGRI  AMB  CHTR  INSTR  RNTL  SALES,64,44165 
23160.*A,GZS,ABERNATHY FIELD,PULASKI,TN,ASO,MEM,PU,35-09-14.7000N,087-03-25.4000W,PU,,General Aviation,,N,100LLA+,INSTR,10,8042 
23283.*A,F83,ABERNATHY MUNI,ABERNATHY,TX,ASW,TEX,PU,33-50-45.2890N,101-45-46.6120W,PU,,NON-NPIAS,,N,,AGRI,1,600 
06460.*A,K78,ABILENE MUNI,ABILENE,KS,ACE,NONE,PU,38-54-14.6000N,097-14-09.1000W,PU,,General Aviation,,N,100LLA,AGRI  CHTR  INSTR  RNTL,20,37800 
23287.*A,ABI,ABILENE RGNL,ABILENE,TX,ASW,TEX,PU,32-24-40.8000N,099-40-54.8000W,PU,I B S 05/1973,Primary,Non-Hub,Y,100LLA    A1+,AFRT  AMB  AVNCS  CHTR  SALES,122,55602 
05008.*A,SPI,ABRAHAM LINCOLN CAPITAL,SPRINGFIELD,IL,AGL,CHI,PU,39-50-39.2000N,089-40-41.1000W,PU,I B S 05/1973,Primary,Non-Hub,Y,100LLA,CHTR  INSTR  RNTL,168,33974 
09848.*A,4D0,ABRAMS MUNI,GRAND LEDGE,MI,AGL,DET,PU,42-46-29.5756N,084-43-59.2985W,PU,,General Aviation,,N,100LL,CHTR  INSTR  RNTL,20,12300 
07670.*A,ARA,ACADIANA RGNL,NEW IBERIA,LA,ASW,LNM,PU,30-02-15.9300N,091-53-02.0260W,PU,IV A U 05/1975,General Aviation,,Y,100LLA,AFRT  CARGO  INSTR,26,10977 
25882.*A,MFV,ACCOMACK COUNTY,MELFA,VA,AEA,DCA,PU,37-38-48.8000N,075-45-39.8000W,PU,,General Aviation,,N,100LLA+,AGRI  CHTR,21,16203 
11122.5*A,9M4,ACKERMAN CHOCTAW COUNTY,ACKERMAN,MS,ASO,JAN,PU,33-18-12.4470N,089-13-42.2410W,PU,,General Aviation,,N,,,3,900 
05805.*A,4C7,ACKLEY MUNI,ACKLEY,IA,ACE,NONE,PU,42-32-50.8000N,093-02-00.3000W,PR,,NON-NPIAS,,N,,,3,450 
17517.*A,0D7,ADA,ADA,OH,AGL,DET,PU,40-47-26.1890N,083-49-44.7740W,PR,,NON-NPIAS,,N,,,14,555 
18771.*A,ADH,ADA MUNI,ADA,OK,ASW,AOK,PU,34-48-15.3431N,096-40-16.3191W,PU,,General Aviation,,N,100LLA,INSTR  RNTL  SALES,57,12100 
50009.*A,ADK,ADAK,ADAK ISLAND,AK,AAL,NONE,PU,51-52-40.8883N,176-38-45.3093W,PU,I A S 04/2005,General Aviation,,N,A1,CARGO,0,340 
27213.1*A,63C,ADAMS COUNTY LEGION FIELD,FRIENDSHIP (ADAMS),WI,AGL,CHI,PU,43-57-38.1171N,089-47-19.1200W,PU,,General Aviation,,N,100LL,INSTR,14,7070 
07107.01*A,EKX,ADDINGTON FIELD,ELIZABETHTOWN,KY,ASO,MEM,PU,37-41-09.6000N,085-55-30.1000W,PU,,General Aviation,,N,100LLA+,AVNCS  INSTR  RNTL,46,16000 
23710.3*A,ADS,ADDISON,DALLAS,TX,ASW,TEX,PU,32-58-06.8000N,096-50-11.2000W,PU,,Reliever,,Y,100LLA,AVNCS  CHTR  INSTR  RNTL  SALES  SURV,561,97563 
00106.*A,2A8,ADDISON MUNI,ADDISON,AL,ASO,JAN,PU,34-13-01.7100N,087-09-29.3700W,PU,,NON-NPIAS,,N,,,4,1416 
01217.*A,A26,ADIN,ADIN,CA,AWP,SFO,PU,41-11-11.4000N,120-57-15.8000W,PU,,NON-NPIAS,,N,,,0,100 
16097.*A,SLK,ADIRONDACK RGNL,SARANAC LAKE,NY,AEA,NYC,PU,44-23-07.1090N,074-12-22.2505W,PU,IV A S 11/2005,Commercial Service,,N,100LLA,CHTR,17,6386 
24272.14*A,T31,AERO COUNTRY,MC KINNEY,TX,ASW,TEX,PU,33-12-30.4200N,096-44-30.9880W,PR,,NON-NPIAS,,N,100LL,INSTR,236,9000 
23902.9*A,T25,AERO ESTATES,FRANKSTON,TX,ASW,TEX,PU,32-04-54.3000N,095-27-09.0100W,PR,,NON-NPIAS,,N,,,11,2500 
13478.1*A,12N,AEROFLEX-ANDOVER,ANDOVER,NJ,AEA,HAR,PU,41-00-31.0310N,074-44-16.9220W,PU,,NON-NPIAS,,N,100LL,CHTR  INSTR  RNTL,47,24826 
09943.03*B,13M,AERONUT PARK,HOWELL,MI,AGL,DET,PU,42-36-15.0000N,083-51-31.0000W,PR,,NON-NPIAS,,N,,,1,10 
27732.*A,AFO,AFTON MUNI,AFTON,WY,ANM,DEN,PU,42-42-31.6000N,110-56-31.8000W,PU,,General Aviation,,N,100LLA,AGRI  CHTR  INSTR,49,8600 
01218.*A,L54,AGUA CALIENTE SPRINGS,AGUA CALIENTE SPRINGS,CA,AWP,LAX,PU,32-57-20.5000N,116-17-41.0000W,PU,,NON-NPIAS,,N,,,0,4400 
01219.*A,L70,AGUA DULCE,AGUA DULCE,CA,AWP,LAX,PU,34-30-09.2500N,118-18-52.7200W,PR,,NON-NPIAS,,N,100LL,,29,720 
22097.*A,AIK,AIKEN MUNI,AIKEN,SC,ASO,ATL,PU,33-38-57.8000N,081-41-06.1000W,PU,,General Aviation,,N,100LLA,INSTR  RNTL,47,43900 
12591.*A,ANW,AINSWORTH RGNL,AINSWORTH,NE,ACE,NONE,PU,42-34-45.2000N,099-59-34.7000W,PU,,General Aviation,,N,100LLA,AGRI,14,4000 
16756.*A,W88,AIR HARBOR,GREENSBORO,NC,ASO,MEM,PU,36-10-25.0000N,079-48-11.0000W,PR,,NON-NPIAS,,N,100LL,INSTR  RNTL,40,3600 
23710.1*A,F69,AIR PARK-DALLAS,DALLAS,TX,ASW,TEX,PU,33-01-24.4370N,096-50-13.0060W,PR,,NON-NPIAS,,N,100LL,,61,18000 
03118.*A,2IS,AIRGLADES,CLEWISTON,FL,ASO,ORL,PU,26-44-06.6000N,081-03-03.8000W,PU,,General Aviation,,N,100LLA,AFRT  AGRI  INSTR  PAJA  RNTL  SALES,18,11527 
16246.*A,09N,AIRHAVEN,STAATSBURG,NY,AEA,NYC,PU,41-49-57.5000N,073-52-34.2000W,PR,,NON-NPIAS,,N,,,3,200 
10821.02*A,LVN,AIRLAKE,MINNEAPOLIS,MN,AGL,DMA,PU,44-37-40.3000N,093-13-41.1000W,PU,,Reliever,,N,100LLA,INSTR  RNTL  SALES,110,34174 
15049.*A,1H1,AIRLANE ENTERPRISES,CLAY,NY,AEA,NYC,PU,43-12-21.2000N,076-10-45.5000W,PR,,NON-NPIAS,,N,,,1,530 
23710.12*A,1F7,AIRPARK EAST,DALLAS,TX,ASW,TEX,PU,32-48-46.6000N,096-21-07.3000W,PR,,NON-NPIAS,,N,,,50,16000 
03424.12*A,48X,AIRPORT MANATEE,PALMETTO,FL,ASO,ORL,PU,27-38-33.3500N,082-31-11.7000W,PR,,NON-NPIAS,,N,100LL,INSTR  RNTL,39,7100 
16363.2*A,D93,AIRTREK,WATERLOO,NY,AEA,NYC,PU,42-51-00.2420N,076-50-58.8470W,PR,,NON-NPIAS,,N,,,2,1600 
10505.*A,AIT,AITKIN MUNI-STEVE KURTZ FIELD,AITKIN,MN,AGL,DMA,PU,46-32-54.4630N,093-40-35.8758W,PU,,General Aviation,,N,100LL,INSTR  SALES,18,16000 
26322.11*A,OKH,AJ EISENBERG,OAK HARBOR,WA,ANM,SEA,PU,48-15-05.5000N,122-40-25.2000W,PR,,NON-NPIAS,,N,100LLMOGAS,AFRT  CARGO  CHTR  INSTR  PAJA,24,17424 
00751.55*A,A39,AK-CHIN RGNL,MARICOPA,AZ,AWP,PHX,PU,32-59-25.9750N,111-55-08.0450W,PU,,General Aviation,,N,100LL,,13,18310 
50016.1*A,AKK,AKHIOK,AKHIOK,AK,AAL,NONE,PU,56-56-19.2870N,154-10-57.2000W,PU,,General Aviation,,N,,,0,1600 
50017.1*C,KKI,AKIACHAK,AKIACHAK,AK,AAL,NONE,PU,60-54-28.3130N,161-26-06.2780W,PU,,NON-NPIAS,,N,,,0,10 
50017.*A,Z13,AKIACHAK,AKIACHAK,AK,AAL,NONE,PU,60-54-49.7200N,161-29-35.9900W,PU,,Commercial Service,,N,,CARGO,0,3000 
50020.*A,AKI,AKIAK,AKIAK,AK,AAL,NONE,PU,60-54-10.4300N,161-13-50.1000W,PU,,General Aviation,,N,,CARGO,0,0 
90005.*A,CYKD,AKLAVIK,AKLAVIK,,,NONE,PU,68-13-24.0000N,135-00-00.0000W,PU,,NON-NPIAS,,N,,,0,0 
14787.*A,9G3,AKRON,AKRON,NY,AEA,NYC,PU,43-01-15.9464N,078-28-57.4795W,PR,,Reliever,,N,100LL,INSTR  RNTL,49,50900 
17524.*A,AKR,AKRON FULTON INTL,AKRON,OH,AGL,DET,PU,41-02-15.0000N,081-28-00.9000W,PU,,General Aviation,,N,100LLA,CHTR  INSTR  RNTL,96,26000 
17521.*A,CAK,AKRON-CANTON RGNL,AKRON,OH,AGL,DET,PU,40-54-54.2000N,081-26-37.1000W,PU,I B S 05/1973,Primary,Small,Y,100LLA,AFRT  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES,136,80528 
50022.1*A,7AK,AKUTAN,AKUTAN,AK,AAL,NONE,PU,54-08-40.6000N,165-36-14.7900W,PU,,General Aviation,,N,,,0,624 
50022.*C,KQA,AKUTAN,AKUTAN,AK,AAL,NONE,PU,54-08-02.0400N,165-46-42.1800W,PU,,General Aviation,,N,,,0,102 
50024.1*A,AUK,ALAKANUK,ALAKANUK,AK,AAL,NONE,PU,62-40-59.0000N,164-43-19.9000W,PU,,Commercial Service,,N,,CARGO,0,0 
13011.*A,L92,ALAMO LANDING FIELD,ALAMO,NV,AWP,PHX,PU,37-21-48.3250N,115-11-43.7850W,PU,,General Aviation,,N,,,1,230 
14524.*A,ALM,ALAMOGORDO-WHITE SANDS RGNL,ALAMOGORDO,NM,ASW,LNM,PU,32-50-28.6000N,105-59-19.9000W,PU,,General Aviation,,N,100LLA1+,AMB  AVNCS  CHTR  GLD  INSTR  PAJA  RNTL  SALES  TOW,97,34460 
27003.*A,54W,ALBANY,ALBANY,WI,AGL,CHI,PU,42-43-02.5900N,089-25-27.0600W,PR,,NON-NPIAS,,N,,,6,1500 
14789.*A,ALB,ALBANY INTL,ALBANY,NY,AEA,NYC,PU,42-44-56.8000N,073-48-07.1000W,PU,I C S 05/1973,Primary,Small,Y,100LLA,CARGO  INSTR  RNTL  SALES  SURV,75,126889 
11518.01*A,K19,ALBANY MUNI,ALBANY,MO,ACE,NONE,PU,40-15-43.9000N,094-20-20.5000W,PU,,NON-NPIAS,,N,100LL,,8,3280 
19345.*A,S12,ALBANY MUNI,ALBANY,OR,ANM,SEA,PU,44-38-16.1000N,123-03-34.0000W,PU,,General Aviation,,N,100LL,INSTR  RNTL  SALES,51,23300 
23299.*A,T23,ALBANY MUNI,ALBANY,TX,ASW,TEX,PU,32-43-17.0000N,099-16-03.3000W,PU,,NON-NPIAS,,N,100LLA,,7,2800 
21231.*A,1N3,ALBERT,PHILIPSBURG,PA,AEA,HAR,PU,40-58-18.0750N,078-14-34.7250W,PR,,NON-NPIAS,,N,,,1,160 
16815.1*A,OAJ,ALBERT J ELLIS,JACKSONVILLE,NC,ASO,MEM,PU,34-49-45.0000N,077-36-43.7000W,PU,I A S 05/1973,Primary,Non-Hub,N,100LLA,INSTR  RNTL  SALES,22,37798 
09914.*A,5Y1,ALBERT J LINDBERG,HESSEL,MI,AGL,DET,PU,46-02-09.0590N,084-25-11.1290W,PU,,NON-NPIAS,,N,,,1,250 
10509.*A,AEL,ALBERT LEA MUNI,ALBERT LEA,MN,AGL,DMA,PU,43-40-52.7313N,093-22-05.3341W,PU,,General Aviation,,N,100LLA    MOGAS,INSTR  RNTL  SALES,53,26175 
03474.*A,SPG,ALBERT WHITTED,ST PETERSBURG,FL,ASO,ORL,PU,27-45-54.4000N,082-37-37.1000W,PU,,Reliever,,Y,100LLA    A1,AVNCS  RNTL,127,93812 
04660.*A,FEP,ALBERTUS,FREEPORT,IL,AGL,CHI,PU,42-14-46.1710N,089-34-55.1520W,PU,,General Aviation,,N,100LLA,INSTR  RNTL,54,20000 
00112.1*A,8A0,ALBERTVILLE RGNL-THOMAS J BRUMLIK FLD,ALBERTVILLE,AL,ASO,JAN,PU,34-13-44.8000N,086-15-20.7000W,PU,,General Aviation,,N,100LLA+,INSTR  RNTL,41,25400 
05814.1*A,4C8,ALBIA MUNI,ALBIA,IA,ACE,NONE,PU,40-59-46.6000N,092-45-56.5000W,PU,,General Aviation,,N,100LL,,6,2000 
12594.1*A,BVN,ALBION MUNI,ALBION,NE,ACE,NONE,PU,41-43-42.8770N,098-03-20.7350W,PU,,General Aviation,,N,100LL,AGRI,14,5100 
14532.*A,ABQ,ALBUQUERQUE INTL SUNPORT,ALBUQUERQUE,NM,ASW,LNM,PU,35-02-20.1536N,106-36-29.7438W,PU,I C S 05/1973,Primary,Medium,Y,100LLA    A1   A1+,AMB  AVNCS  CARGO  CHTR  INSTR  RNTL  SALES  SURV,139,130007 
18468.5*A,2P7,ALDERMAN,ST CLAIRSVILLE,OH,AGL,DET,PU,40-03-24.7071N,080-57-47.4766W,PR,,NON-NPIAS,,N,,,4,6150 
50027.52*C,Z33,ALEKNAGIK,ALEKNAGIK,AK,AAL,NONE,PU,59-16-26.3210N,158-37-24.9210W,PR,,NON-NPIAS,,N,100LLMOGAS,,0,0 
50027.53*A,5A8,ALEKNAGIK /NEW,ALEKNAGIK,AK,AAL,NONE,PU,59-16-57.2000N,158-37-04.3200W,PU,,General Aviation,,N,,,0,930 
27712.2*A,ISW,ALEXANDER FIELD SOUTH WOOD COUNTY,WISCONSIN RAPIDS,WI,AGL,CHI,PU,44-21-38.3240N,089-50-17.3082W,PU,,General Aviation,,N,100LLA,CHTR  INSTR  RNTL,51,9050 
14546.1*A,E80,ALEXANDER MUNI,BELEN,NM,ASW,LNM,PU,34-38-42.7120N,106-50-01.3050W,PU,,General Aviation,,N,100LLA1+,PAJA  SURV,51,17450 
18663.8*A,AMT,ALEXANDER SALAMON,WEST UNION,OH,AGL,DET,PU,38-51-05.3096N,083-33-58.5404W,PU,,General Aviation,,N,100LL,,11,5210 
05087.3*A,I99,ALEXANDRIA,ALEXANDRIA,IN,AGL,CHI,PU,40-13-57.0480N,085-38-15.1100W,PR,,NON-NPIAS,,N,,GLD  INSTR  TOW,2,6377 
14189.*A,N85,ALEXANDRIA,PITTSTOWN,NJ,AEA,HAR,PU,40-35-15.2660N,075-01-09.9140W,PR,,NON-NPIAS,,N,100LLA,INSTR  PAJA  RNTL  SALES,88,18453 
07411.*A,AEX,ALEXANDRIA INTL,ALEXANDRIA,LA,ASW,LNM,PU,31-19-38.5380N,092-32-54.8020W,PU,I D S 08/1993,Primary,Non-Hub,Y,100  A    MOGAS,CHTR  INSTR  RNTL  SALES,45,33365 
24804.*A,T69,ALFRED C 'BUBBA' THOMAS,SINTON,TX,ASW,TEX,PU,28-02-18.8407N,097-32-33.0045W,PU,,NON-NPIAS,,N,100LLA,INSTR  RNTL,39,10300 
06659.5*A,M66,ALFRED SCHROEDER FIELD,HILLSBORO,KS,ACE,NONE,PU,38-20-29.6550N,097-12-49.9400W,PU,,NON-NPIAS,,N,100LL,,7,5000 
05816.*A,AXA,ALGONA MUNI,ALGONA,IA,ACE,NONE,PU,43-04-40.5000N,094-16-19.0000W,PU,,General Aviation,,N,100LLA,AGRI  CHTR  INSTR  RNTL,28,8750 
23305.*A,ALI,ALICE INTL,ALICE,TX,ASW,TEX,PU,27-44-27.2000N,098-01-37.0000W,PU,,General Aviation,,N,100LLA,,15,26720 
50448.*C,ALZ,ALITAK,LAZY BAY,AK,AAL,NONE,PU,56-53-58.1540N,154-14-52.2480W,PR,,NON-NPIAS,,N,,,0,10 
19346.75*A,R03,ALKALI LAKE STATE,ALKALI LAKE,OR,ANM,SEA,PU,43-05-14.5420N,119-58-33.8640W,PU,,NON-NPIAS,,N,,,0,50 
